especificacion,esquema,institucion,bloque,tipo,stat_type,stat,df,p
zscore,teorica,FF.AA.,frontera 1-2 (1949/1950),frontera,chi2,    1.470,  1,   0.2254
zscore,teorica,FF.AA.,frontera 2-3 (1964/1965),frontera,chi2,    1.114,  1,   0.2912
zscore,teorica,FF.AA.,frontera 3-4 (1979/1980),frontera,chi2,    0.136,  1,   0.7127
zscore,teorica,FF.AA.,frontera 4-5 (1994/1995),frontera,chi2,   18.855,  1,   0.0000
zscore,importada,FF.AA.,frontera Silenciosa/Boomer (1945/1946),frontera,chi2,    0.025,  1,   0.8734
zscore,importada,FF.AA.,frontera Boomer/X (1964/1965),frontera,chi2,    1.119,  1,   0.2901
zscore,importada,FF.AA.,frontera X/Millennial (1980/1981),frontera,chi2,    0.073,  1,   0.7865
zscore,importada,FF.AA.,frontera Millennial/Z (1996/1997),frontera,chi2,    2.649,  1,   0.1036
zscore,balcells,FF.AA.,frontera plebiscito 1988 (1970/1971),frontera,chi2,    0.239,  1,   0.6249
zscore,balcells,FF.AA.,frontera retorno democracia 1990 (1972/1973),frontera,chi2,    1.788,  1,   0.1811
zscore,teorica,Iglesia,1 (<=1949),dentro-bloque,chi2,    6.610,  1,   0.0101
zscore,teorica,Iglesia,2 (1950-1964),dentro-bloque,chi2,    0.907,  2,   0.6355
zscore,teorica,Iglesia,3 (1965-1979),dentro-bloque,chi2,    2.980,  2,   0.2254
zscore,teorica,Iglesia,4 (1980-1994),dentro-bloque,chi2,    0.041,  2,   0.9797
zscore,teorica,Iglesia,5 (1995+),dentro-bloque,chi2,    2.083,  2,   0.3530
zscore,teorica,Iglesia,frontera 1-2 (1949/1950),frontera,chi2,    0.007,  1,   0.9329
zscore,teorica,Iglesia,frontera 2-3 (1964/1965),frontera,chi2,    0.586,  1,   0.4440
zscore,teorica,Iglesia,frontera 3-4 (1979/1980),frontera,chi2,    0.763,  1,   0.3825
zscore,teorica,Iglesia,frontera 4-5 (1994/1995),frontera,chi2,    0.238,  1,   0.6258
zscore,importada,Iglesia,frontera Silenciosa/Boomer (1945/1946),frontera,chi2,    4.095,  1,   0.0430
zscore,importada,Iglesia,frontera Boomer/X (1964/1965),frontera,chi2,    0.654,  1,   0.4188
zscore,importada,Iglesia,frontera X/Millennial (1980/1981),frontera,chi2,    0.012,  1,   0.9145
zscore,importada,Iglesia,frontera Millennial/Z (1996/1997),frontera,chi2,    3.642,  1,   0.0563
zscore,balcells,Iglesia,frontera plebiscito 1988 (1970/1971),frontera,chi2,    0.382,  1,   0.5364
zscore,balcells,Iglesia,frontera retorno democracia 1990 (1972/1973),frontera,chi2,    1.796,  1,   0.1802
ordinal,teorica,Gobierno,1 (<=1949),dentro-bloque,chi2,    6.945,  1,   0.0084
ordinal,teorica,Gobierno,2 (1950-1964),dentro-bloque,chi2,   13.074,  2,   0.0014
ordinal,teorica,Gobierno,3 (1965-1979),dentro-bloque,chi2,    5.585,  2,   0.0613
ordinal,teorica,Gobierno,4 (1980-1994),dentro-bloque,chi2,   12.882,  2,   0.0016
ordinal,teorica,Gobierno,5 (1995+),dentro-bloque,chi2,   14.252,  2,   0.0008
ordinal,teorica,Gobierno,frontera 1-2 (1949/1950),frontera,chi2,    0.132,  1,   0.7163
ordinal,teorica,Gobierno,frontera 2-3 (1964/1965),frontera,chi2,    0.767,  1,   0.3811
ordinal,teorica,Gobierno,frontera 3-4 (1979/1980),frontera,chi2,    1.077,  1,   0.2993
ordinal,teorica,Gobierno,frontera 4-5 (1994/1995),frontera,chi2,   10.661,  1,   0.0011
ordinal,importada,Gobierno,frontera Silenciosa/Boomer (1945/1946),frontera,chi2,    5.350,  1,   0.0207
ordinal,importada,Gobierno,frontera Boomer/X (1964/1965),frontera,chi2,    0.573,  1,   0.4491
ordinal,importada,Gobierno,frontera X/Millennial (1980/1981),frontera,chi2,    2.533,  1,   0.1115
ordinal,importada,Gobierno,frontera Millennial/Z (1996/1997),frontera,chi2,    0.896,  1,   0.3438
ordinal,balcells,Gobierno,frontera plebiscito 1988 (1970/1971),frontera,chi2,    3.358,  1,   0.0669
ordinal,balcells,Gobierno,frontera retorno democracia 1990 (1972/1973),frontera,chi2,    2.021,  1,   0.1552
ordinal,teorica,Parlamento,1 (<=1949),dentro-bloque,chi2,    5.474,  1,   0.0193
ordinal,teorica,Parlamento,2 (1950-1964),dentro-bloque,chi2,   13.205,  2,   0.0014
ordinal,teorica,Parlamento,3 (1965-1979),dentro-bloque,chi2,   17.015,  2,   0.0002
ordinal,teorica,Parlamento,4 (1980-1994),dentro-bloque,chi2,   10.630,  2,   0.0049
ordinal,teorica,Parlamento,5 (1995+),dentro-bloque,chi2,   24.898,  2,   0.0000
ordinal,teorica,Parlamento,frontera 1-2 (1949/1950),frontera,chi2,    0.481,  1,   0.4880
ordinal,teorica,Parlamento,frontera 2-3 (1964/1965),frontera,chi2,    0.116,  1,   0.7332
ordinal,teorica,Parlamento,frontera 3-4 (1979/1980),frontera,chi2,    0.425,  1,   0.5144
ordinal,teorica,Parlamento,frontera 4-5 (1994/1995),frontera,chi2,   14.177,  1,   0.0002
ordinal,importada,Parlamento,frontera Silenciosa/Boomer (1945/1946),frontera,chi2,    0.008,  1,   0.9299
ordinal,importada,Parlamento,frontera Boomer/X (1964/1965),frontera,chi2,    0.040,  1,   0.8411
ordinal,importada,Parlamento,frontera X/Millennial (1980/1981),frontera,chi2,    0.200,  1,   0.6550
ordinal,importada,Parlamento,frontera Millennial/Z (1996/1997),frontera,chi2,    1.880,  1,   0.1704
ordinal,balcells,Parlamento,frontera plebiscito 1988 (1970/1971),frontera,chi2,   10.414,  1,   0.0013
ordinal,balcells,Parlamento,frontera retorno democracia 1990 (1972/1973),frontera,chi2,    0.919,  1,   0.3378
ordinal,teorica,Partidos,1 (<=1949),dentro-bloque,chi2,    2.276,  1,   0.1314
ordinal,teorica,Partidos,2 (1950-1964),dentro-bloque,chi2,    6.874,  2,   0.0322
ordinal,teorica,Partidos,3 (1965-1979),dentro-bloque,chi2,   15.943,  2,   0.0003
ordinal,teorica,Partidos,4 (1980-1994),dentro-bloque,chi2,    3.908,  2,   0.1417
ordinal,teorica,Partidos,5 (1995+),dentro-bloque,chi2,   22.728,  2,   0.0000
ordinal,teorica,Partidos,frontera 1-2 (1949/1950),frontera,chi2,    3.414,  1,   0.0647
ordinal,teorica,Partidos,frontera 2-3 (1964/1965),frontera,chi2,    0.498,  1,   0.4804
ordinal,teorica,Partidos,frontera 3-4 (1979/1980),frontera,chi2,    0.000,  1,   0.9937
ordinal,teorica,Partidos,frontera 4-5 (1994/1995),frontera,chi2,   21.393,  1,   0.0000
ordinal,importada,Partidos,frontera Silenciosa/Boomer (1945/1946),frontera,chi2,    0.712,  1,   0.3987
ordinal,importada,Partidos,frontera Boomer/X (1964/1965),frontera,chi2,    0.191,  1,   0.6622
ordinal,importada,Partidos,frontera X/Millennial (1980/1981),frontera,chi2,    0.001,  1,   0.9742
ordinal,importada,Partidos,frontera Millennial/Z (1996/1997),frontera,chi2,    5.777,  1,   0.0162
ordinal,balcells,Partidos,frontera plebiscito 1988 (1970/1971),frontera,chi2,    1.485,  1,   0.2230
ordinal,balcells,Partidos,frontera retorno democracia 1990 (1972/1973),frontera,chi2,    0.498,  1,   0.4804
ordinal,teorica,FF.AA.,1 (<=1949),dentro-bloque,chi2,    1.146,  1,   0.2844
ordinal,teorica,FF.AA.,2 (1950-1964),dentro-bloque,chi2,    1.237,  2,   0.5389
ordinal,teorica,FF.AA.,3 (1965-1979),dentro-bloque,chi2,    7.140,  2,   0.0282
ordinal,teorica,FF.AA.,4 (1980-1994),dentro-bloque,chi2,    0.150,  2,   0.9276
ordinal,teorica,FF.AA.,5 (1995+),dentro-bloque,chi2,    1.662,  2,   0.4357
ordinal,teorica,FF.AA.,frontera 1-2 (1949/1950),frontera,chi2,    3.469,  1,   0.0625
ordinal,teorica,FF.AA.,frontera 2-3 (1964/1965),frontera,chi2,    0.009,  1,   0.9253
ordinal,teorica,FF.AA.,frontera 3-4 (1979/1980),frontera,chi2,    2.061,  1,   0.1511
ordinal,teorica,FF.AA.,frontera 4-5 (1994/1995),frontera,chi2,   27.133,  1,   0.0000
ordinal,importada,FF.AA.,frontera Silenciosa/Boomer (1945/1946),frontera,chi2,    0.006,  1,   0.9365
ordinal,importada,FF.AA.,frontera Boomer/X (1964/1965),frontera,chi2,    0.204,  1,   0.6516
ordinal,importada,FF.AA.,frontera X/Millennial (1980/1981),frontera,chi2,    0.000,  1,   0.9829
ordinal,importada,FF.AA.,frontera Millennial/Z (1996/1997),frontera,chi2,    2.047,  1,   0.1525
ordinal,balcells,FF.AA.,frontera plebiscito 1988 (1970/1971),frontera,chi2,    0.614,  1,   0.4333
ordinal,balcells,FF.AA.,frontera retorno democracia 1990 (1972/1973),frontera,chi2,    2.319,  1,   0.1278
ordinal,teorica,Iglesia,1 (<=1949),dentro-bloque,chi2,    3.209,  1,   0.0732
ordinal,teorica,Iglesia,2 (1950-1964),dentro-bloque,chi2,    0.185,  2,   0.9118
ordinal,teorica,Iglesia,3 (1965-1979),dentro-bloque,chi2,    6.076,  2,   0.0479
ordinal,teorica,Iglesia,4 (1980-1994),dentro-bloque,chi2,    1.391,  2,   0.4988
ordinal,teorica,Iglesia,5 (1995+),dentro-bloque,chi2,    2.867,  2,   0.2384
ordinal,teorica,Iglesia,frontera 1-2 (1949/1950),frontera,chi2,    0.109,  1,   0.7411
ordinal,teorica,Iglesia,frontera 2-3 (1964/1965),frontera,chi2,    0.000,  1,   0.9847
ordinal,teorica,Iglesia,frontera 3-4 (1979/1980),frontera,chi2,    0.035,  1,   0.8510
ordinal,teorica,Iglesia,frontera 4-5 (1994/1995),frontera,chi2,    1.866,  1,   0.1719
ordinal,importada,Iglesia,frontera Silenciosa/Boomer (1945/1946),frontera,chi2,    4.168,  1,   0.0412
ordinal,importada,Iglesia,frontera Boomer/X (1964/1965),frontera,chi2,    0.012,  1,   0.9139
ordinal,importada,Iglesia,frontera X/Millennial (1980/1981),frontera,chi2,    0.060,  1,   0.8068
ordinal,importada,Iglesia,frontera Millennial/Z (1996/1997),frontera,chi2,    3.097,  1,   0.0784
ordinal,balcells,Iglesia,frontera plebiscito 1988 (1970/1971),frontera,chi2,    0.612,  1,   0.4339
ordinal,balcells,Iglesia,frontera retorno democracia 1990 (1972/1973),frontera,chi2,    1.376,  1,   0.2408
