especificacion,institucion,bloque,tipo,stat_type,stat,df,df_r,p
ordinal,Parlamento,3 (1965-1979),dentro-bloque,chi2,   16.296,  2,     .,   0.0003
ordinal,Parlamento,4 (1980-1994),dentro-bloque,chi2,    5.474,  2,     .,   0.0648
ordinal,Parlamento,5 (1995+),dentro-bloque,chi2,   35.653,  2,     .,   0.0000
ordinal,Parlamento,frontera 1-2 (1949/1950),frontera,chi2,    0.123,  1,     .,   0.7263
ordinal,Parlamento,frontera 2-3 (1964/1965),frontera,chi2,    0.589,  1,     .,   0.4427
ordinal,Parlamento,frontera 3-4 (1979/1980),frontera,chi2,    0.066,  1,     .,   0.7977
ordinal,Parlamento,frontera 4-5 (1994/1995),frontera,chi2,   18.232,  1,     .,   0.0000
ordinal,Partidos,1 (<=1949),dentro-bloque,chi2,    0.985,  1,     .,   0.3210
ordinal,Partidos,2 (1950-1964),dentro-bloque,chi2,    3.020,  2,     .,   0.2210
ordinal,Partidos,3 (1965-1979),dentro-bloque,chi2,   16.674,  2,     .,   0.0002
ordinal,Partidos,4 (1980-1994),dentro-bloque,chi2,    2.637,  2,     .,   0.2675
ordinal,Partidos,5 (1995+),dentro-bloque,chi2,   14.078,  2,     .,   0.0009
ordinal,Partidos,frontera 1-2 (1949/1950),frontera,chi2,    2.935,  1,     .,   0.0867
ordinal,Partidos,frontera 2-3 (1964/1965),frontera,chi2,    0.890,  1,     .,   0.3454
ordinal,Partidos,frontera 3-4 (1979/1980),frontera,chi2,    0.080,  1,     .,   0.7776
ordinal,Partidos,frontera 4-5 (1994/1995),frontera,chi2,   20.228,  1,     .,   0.0000
ordinal,FF.AA.,1 (<=1949),dentro-bloque,chi2,    0.624,  1,     .,   0.4295
ordinal,FF.AA.,2 (1950-1964),dentro-bloque,chi2,    0.546,  2,     .,   0.7612
ordinal,FF.AA.,3 (1965-1979),dentro-bloque,chi2,    8.698,  2,     .,   0.0129
ordinal,FF.AA.,4 (1980-1994),dentro-bloque,chi2,    0.075,  2,     .,   0.9633
ordinal,FF.AA.,5 (1995+),dentro-bloque,chi2,    1.385,  2,     .,   0.5004
ordinal,FF.AA.,frontera 1-2 (1949/1950),frontera,chi2,    2.563,  1,     .,   0.1094
ordinal,FF.AA.,frontera 2-3 (1964/1965),frontera,chi2,    0.051,  1,     .,   0.8215
ordinal,FF.AA.,frontera 3-4 (1979/1980),frontera,chi2,    1.364,  1,     .,   0.2428
ordinal,FF.AA.,frontera 4-5 (1994/1995),frontera,chi2,   13.712,  1,     .,   0.0002
ordinal,Iglesia,1 (<=1949),dentro-bloque,chi2,    1.878,  1,     .,   0.1706
ordinal,Iglesia,2 (1950-1964),dentro-bloque,chi2,    0.658,  2,     .,   0.7195
ordinal,Iglesia,3 (1965-1979),dentro-bloque,chi2,    4.810,  2,     .,   0.0903
ordinal,Iglesia,4 (1980-1994),dentro-bloque,chi2,    1.697,  2,     .,   0.4280
ordinal,Iglesia,5 (1995+),dentro-bloque,chi2,    4.642,  2,     .,   0.0982
ordinal,Iglesia,frontera 1-2 (1949/1950),frontera,chi2,    0.275,  1,     .,   0.6000
ordinal,Iglesia,frontera 2-3 (1964/1965),frontera,chi2,    0.072,  1,     .,   0.7886
ordinal,Iglesia,frontera 3-4 (1979/1980),frontera,chi2,    0.226,  1,     .,   0.6345
ordinal,Iglesia,frontera 4-5 (1994/1995),frontera,chi2,    3.299,  1,     .,   0.0693
